id,ids_prism,ids_bbref,ids_fangraphs,ids_mlbam,ids_nfbc,ids_sfbb,ids_yahoo,names_last,names_first,names_middle
000svvhjew,000svvhjew,popza01,20185,647315,11183,,12108,Pop,Zach,M.
015g5gcvlr,015g5gcvlr,nicolky01,27775,693312,11869,,60341,Nicolas,Kyle,Todd
02vlgbhh3r,02vlgbhh3r,baldwdr01,31539,686948,12203,baldwdr01,60077,Baldwin,Drake,Randall
03bl1hngvw,03bl1hngvw,sweetde01,25348,682967,11828,,61836,Sweet,Devin,
04tb2mnv00,04tb2mnv00,vientma01,22184,668901,10282,vientma01,10922,Vientos,Mark,Anthony
05811gffwh,05811gffwh,martest01,9241,516782,7736,martest01,9118,Marte,Starling,Javier
05tt9hm92w,05tt9hm92w,montafr02,14309,593423,9103,montafr02,10027,Montas,Frankie,
06bz39jtdr,06bz39jtdr,stephtr01,19932,663986,11194,stephtr01,11357,Stephan,Trevor,R.
07hcbld48d,07hcbld48d,lodolni01,26378,666157,10964,lodolni01,11750,Lodolo,Nick,Frank
07ytnfhm9d,07ytnfhm9d,grayjo03,24580,680686,10259,grayjo03,11480,Gray,Josiah,
08wv6yyerm,08wv6yyerm,adamja01,11861,592094,10025,adamja01,11009,Adam,Jason,Kendall
09c13ce6m8,09c13ce6m8,lowderh01,33876,695076,11933,lowderh01,62977,Lowder,Rhett,Hamilton
09s0gxm8y0,09s0gxm8y0,richatr01,19309,670950,9951,richatr01,10988,Richards,Trevor,Michael
0c78jp1njh,0c78jp1njh,urquijo01,18413,664353,10645,urquijo01,11608,Urquidy,José,Luis
0dr7p5djbr,0dr7p5djbr,raineta01,17610,663432,10020,raineta01,10989,Rainey,Tanner,Scott
0e08y8503m,0e08y8503m,pederjo01,11899,592626,8688,pederjo01,9414,Pederson,Joc,R.
0evxssp0ew,0evxssp0ew,penroza01,25368,683068,12184,,63330,Penrod,Zach,
0fkschh9hr,0fkschh9hr,cruzst01,23165,674444,11852,,60570,Cruz,Steven,Adalberto
0fqwpk88q0,0fqwpk88q0,glasnty01,14374,607192,8700,glasnty01,9616,Glasnow,Tyler,Allen
0g8dednxcw,0g8dednxcw,maldoma01,6887,455117,8159,maldoma01,9045,Maldonado,Martín,
0h8pkhx25w,0h8pkhx25w,duranja01,24617,680776,10824,duranja01,11735,Duran,Jarren,William
0hc0j661xw,0hc0j661xw,mercami01,23223,675650,11962,mercami01,11546,Mercado,Michael,Michael
0hl71p64rw,0hl71p64rw,buttojo01,23313,676130,11400,buttojo01,12337,Buttó,José,Alejandro
0jtfbksky4,0jtfbksky4,kreidry01,25867,668952,11324,kreidry01,12428,Kreidler,Ryan,Michael
0jy7pjedpd,0jy7pjedpd,robbese01,sa3011735,691828,11976,robbese01,12571,Robberse,Sem,
0kqb4s0qbm,0kqb4s0qbm,aldegsa01,26443,691951,12170,,63620,Aldegheri,Sam,
0kz9s3m1ew,0kz9s3m1ew,casteni01,11737,592206,8221,casteni01,9108,Castellanos,Nick,A.
0kzrvtdyjr,0kzrvtdyjr,fraziad01,15223,624428,9387,fraziad01,10322,Frazier,Adam,Timothy
0lmr7qkmfd,0lmr7qkmfd,swanser01,16587,657024,10449,swanser01,11236,Swanson,Erik,Donald
0lqfwsdh4w,0lqfwsdh4w,thorntr01,17948,663423,10494,thorntr01,11247,Thornton,Trent,Edward
0m24y75cmm,0m24y75cmm,alexabl01,23789,677942,10142,alexabl01,11415,Alexander,Blaze,Chanee
0mg5h79vw0,0mg5h79vw0,corteca01,21842,666126,12427,,12488,Cortes,Carlos,Andres
0mm3zgzsk4,0mm3zgzsk4,biggica01,19252,624415,10160,biggica01,11086,Biggio,Cavan,Thomas
0nfedq762h,0nfedq762h,matonni01,21635,665155,11016,matonni01,11814,Maton,Nick,
0p76sd3p2r,0p76sd3p2r,steveca01,22411,670276,10383,steveca01,12668,Stevenson,Cal,
0qnhprcy74,0qnhprcy74,houckta01,19879,656557,11068,houckta01,10852,Houck,Tanner,Lee
0r5rlppgn0,0r5rlppgn0,moncayo01,17232,660162,8979,moncayo01,9900,Moncada,Yoán,Manuel
0v7lhb0k5w,0v7lhb0k5w,solakni01,19294,669256,9967,solakni01,10927,Solak,Nick,Blake
0vzk26es0m,0vzk26es0m,heanean01,15423,571760,8670,heanean01,9586,Heaney,Andrew,M.
0wbh0gc9zr,0wbh0gc9zr,delayja01,19806,641511,11495,delayja01,12637,Delay,Jason,Thomas
0wzw91c32d,0wzw91c32d,fermijo01,21746,665877,11776,,12710,Fermín,José,Miguel
0x9v79c9xm,0x9v79c9xm,scottvi01,31349,687363,11947,scottvi01,61888,Scott,Victor,Dwanyne
0xl8qzyn1h,0xl8qzyn1h,trompch01,16953,644433,11085,trompch01,12009,Tromp,Chadwick,Chandler
0yh1r3kcr8,0yh1r3kcr8,raganco01,21846,666142,10166,raganco01,10610,Ragans,Cole,Gatlin
0yt7k2d5th,0yt7k2d5th,orneljo01,24597,680716,10249,,11553,Ornelas,Jonathan,
0ywnctc694,0ywnctc694,springe01,12856,543807,8433,springe01,9339,Springer,George,Chelston
0zr8qbqwwh,0zr8qbqwwh,whitcsh01,27789,694376,12156,whitcsh01,12442,Whitcomb,Shay,Lane
0zwcy8rnjd,0zwcy8rnjd,rodrien01,25332,682848,11584,rodrien01,12160,Rodríguez,Endy,Steven
10r73cbf1h,10r73cbf1h,vargami01,20178,678246,10417,vargami01,11781,Vargas,Miguel,Antonio
11bhd7snjh,11bhd7snjh,hicksjo03,19618,663855,9957,hicksjo03,10947,Hicks,Jordan,McKinley
11rndjgqch,11rndjgqch,megilty01,21318,656731,11227,megilty01,12215,Megill,Tylor,J.
11xr0jsdf0,11xr0jsdf0,sewalpa01,13892,623149,9642,sewalpa01,10657,Sewald,Paul,Stanton
150d9tvj6w,150d9tvj6w,singljo02,10441,572138,8213,singljo02,9099,Singleton,Jon,L.
15rbr3dj18,15rbr3dj18,sasakro01,35323,808963,11940,sasakro01,64803,Sasaki,Roki,
16dnyyqtvh,16dnyyqtvh,ginkeke01,19876,656464,10662,ginkeke01,11626,Ginkel,Kevin,Andrew
16hqjnv2f0,16hqjnv2f0,delacel01,26668,682829,11583,delacel01,12393,De La Cruz,Elly,Antonio
173yd4sz10,173yd4sz10,dezenza01,31562,701305,12145,dezenza01,62488,Dezenzo,Zach,
1770csh9rw,1770csh9rw,chourja01,28806,694192,11738,chourja01,12480,Chourio,Jackson,Bryan
179kf9rszd,179kf9rszd,koenija01,27517,657649,11489,koenija01,12630,Koenig,Jared,Tyler
17m05z683m,17m05z683m,buschmi02,26319,683737,11048,buschmi02,11778,Busch,Michael,James
17z200v114,17z200v114,guentse01,20045,674944,11251,,12240,Guenther,Sean,McManus
18b9ft0lsm,18b9ft0lsm,heywaja01,4940,518792,7112,heywaja01,8621,Heyward,Jason,Alias
19z56wdcp4,19z56wdcp4,akinke01,19362,669211,10524,akinke01,10431,Akin,Keegan,Lee
1bxfymq8c8,1bxfymq8c8,bohmal01,21618,664761,10125,bohmal01,11365,Bohm,Alec,Daniel
1c0q97f6l4,1c0q97f6l4,mcartja01,21527,663704,11345,mcartja01,12324,McArthur,James,L.
