id,ids_prism,ids_espn,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_last,names_first,names_middle
01rb14s3zm,01rb14s3zm,4431545,00-0039746,21141,ShipWi00,11577,796e223d-e8d5-42ab-afb4-557fa6183357,Q109187026,41002,Shipley,Will,
059xleevqh,059xleevqh,4427366,00-0038120,19427,HallBr03,8155,db1053d7-3343-43a3-9aab-8353f10f1221,Q99670654,33991,Hall,Breece,
09w695n8hr,09w695n8hr,4242431,00-0037276,19471,ChanTy01,8230,a0833a94-60ce-4a3a-a32a-d067fe7b253d,Q111818676,34125,Chandler,Ty,
0dkxe1x2th,0dkxe1x2th,4362921,00-0038104,19491,ThorTy00,8188,74cda487-2026-42e0-ae32-77f3502cfb11,Q111085291,34005,Thornton,Tyquan,
0n8d26yxmh,0n8d26yxmh,4710714,00-0041035,23066,StriDe01,13417,ca6fa516-adeb-4fd2-9408-17c9c2e38798,Q130332377,42655,Stribling,De'Zhaun,
0nr4xs8zx0,0nr4xs8zx0,4685522,00-0041568,22936,SimpTy00,13275,2e62e603-363a-425f-8c57-0a1600476c85,Q116234477,42635,Simpson,Ty,
0p11t6bxgr,0p11t6bxgr,4360438,00-0036261,17983,AiyuBr00,6803,c90471cc-fa60-4416-9388-5aebb5d877eb,Q75837911,32695,Aiyuk,Brandon,
0pp77rg64h,0pp77rg64h,4431536,00-0040400,21149,EdwaDo01,12515,162f3110-24fe-11f0-9c33-270dfe4c58dc,Q108408578,42226,Edwards,Donovan,
0ps0bjgzy0,0ps0bjgzy0,4837248,00-0041562,22928,MendFe00,13269,b1ded115-092a-4199-9a55-cab9f4b5bb18,Q123411920,42623,Mendoza,Fernando,
0z7b94ldpd,0z7b94ldpd,3043078,00-0032764,15055,HenrDe00,3198,87c481c7-7414-43cc-82df-19ca0c2ae22e,Q16729768,29279,Henry,Derrick,
10nt79jntd,10nt79jntd,4711533,00-0040198,22071,GordOl00,12495,42753bb4-a416-4d40-bf81-f20d2181be2f,Q115587460,41969,Gordon,Ollie,
1540mysd5m,1540mysd5m,4431611,00-0039918,21124,WillCa03,11560,49d4b627-3f19-49a8-ae33-f539e0fb1f88,Q108878513,40900,Williams,Caleb,
1dx1b5rhq0,1dx1b5rhq0,4426689,00-0040476,22461,BentUl00,12826,f71d0370-23b2-11f0-b632-8947e146a0ae,Q132435855,42126,Bentley,Ulysses,
1f750xjkhm,1f750xjkhm,4569618,00-0037740,19431,WilsGa00,8146,68d72fe0-79b2-4fdb-afd5-6c79676e77f3,Q104524010,33965,Wilson,Garrett,
1h0t5q0gy0,1h0t5q0gy0,4035656,00-0036862,19129,SkowBe00,7757,5521ba64-e615-4d50-b9bf-490498571ac7,Q102046795,33637,Skowronek,Ben,
1k1xvf02bw,1k1xvf02bw,4383396,00-0038738,21079,LuepHu00,11510,58f425d0-f677-11ed-978f-0975e9cb7dba,Q114498061,40780,Luepke,Hunter,
1nf9zydt44,1nf9zydt44,4429299,00-0040208,22300,BrooTa00,12543,8d50af87-f6dc-42cb-a7e7-11716667a1dc,Q122999654,41983,Brooks,Tahj,
1q9dv58dtr,1q9dv58dtr,4870847,00-0040870,22959,LaneJa01,13293,ea285842-4fdf-4b27-bd73-6bfd916c6bc5,Q130380708,42702,Lane,Ja'Kobi,
1qr2zc3s60,1qr2zc3s60,4360763,00-0038840,20751,TremBr00,11157,2a3cbc30-e8ed-11ed-bd02-25f41a9e059e,Q128529362,40407,Tremayne,Brycen,
1r08hg90ld,1r08hg90ld,4432620,00-0038606,20291,WashPa01,9487,c05863ec-3414-4ae6-a8d2-830aed99b6d3,Q105582950,40234,Washington,Parker,
22ddgf0rxm,22ddgf0rxm,4722893,00-0038794,21005,McLaJa00,11439,60b4ded0-f321-11ed-ab27-e38fa04fd6c0,Q120973540,40696,McLaughlin,Jaleel,
22kns1s024,22kns1s024,4685555,00-0040886,22943,SingNi01,13288,0111286e-ef59-40dd-97e8-967204490e34,Q113468531,42763,Singleton,Nicholas,
2389bt5vmh,2389bt5vmh,4040761,00-0035250,17034,SingDe00,6130,a961b0d4-5d7c-438e-90f0-2e1fa09f6c89,Q44389375,31906,Singletary,Devin,
263pgtfvcd,263pgtfvcd,4685261,00-0041489,22947,BernGe00,13274,d37b698e-7a10-4363-a859-6937c7d3e6f6,Q124215676,42669,Bernard,Germie,
274d354sbr,274d354sbr,4360516,00-0039384,21183,TracTy00,11655,fc6c7973-79a9-4974-855e-bc13400fe641,Q124714586,41048,Tracy,Tyrone,
27cz4r21c0,27cz4r21c0,4426338,00-0039732,20299,NixxBo00,11563,f056c8ed-6ee5-492c-af11-3f7e3d97195c,Q64010450,40875,Nix,Bo,
27k9qfxj4w,27k9qfxj4w,4426485,00-0039062,20332,MingJo00,10225,6cf0c82d-87e4-4cfc-8475-77667ed92796,Q114567837,40073,Mingo,Jonathan,
2hmrb76wt8,2hmrb76wt8,4686612,00-0040727,22074,HarrTr03,12509,a45328a1-7d0e-451a-8176-ea30f0e1c86f,Q123197626,41840,Harris,Tre,
