id,ids_prism,ids_espn,ids_fantasypros,ids_fantasyprosSlug,ids_gsis,ids_nffc,ids_pfr,ids_sleeper,ids_sportradar,ids_wikidata,ids_yahoo,names_boxscore,names_givenFirst,names_firstLast,names_lastFirst,names_lastFirstInit,names_givenFull,names_suffix,names_display,names_last,names_first,names_middle,profile_birthDate,profile_birthYear,profile_birthMonth,profile_birthDay,profile_height,profile_weight,position_abbreviation,position_group,profile_rookieYear
01rb14s3zm,01rb14s3zm,4431545,22930,will-shipley,00-0039746,21141,ShipWi00,11577,796e223d-e8d5-42ab-afb4-557fa6183357,Q109187026,41002,W.Shipley,William,Will Shipley,"Shipley, Will","Shipley, W",William Shipley,,Will Shipley,Shipley,Will,,2002-08-29,2002,08,29,71,210,RB,RB,2024
059xleevqh,059xleevqh,4427366,22982,breece-hall,00-0038120,19427,HallBr03,8155,db1053d7-3343-43a3-9aab-8353f10f1221,Q99670654,33991,B.Hall,Breece,Breece Hall,"Hall, Breece","Hall, B",Breece Hall,,Breece Hall,Hall,Breece,,2001-05-31,2001,05,31,71,217,RB,RB,2022
09w695n8hr,09w695n8hr,4242431,19471,ty-chandler,00-0037276,19471,ChanTy01,8230,a0833a94-60ce-4a3a-a32a-d067fe7b253d,Q111818676,34125,T.Chandler,Tykevious,Ty Chandler,"Chandler, Ty","Chandler, T",Tykevious Chandler,,Ty Chandler,Chandler,Ty,,1998-05-12,1998,05,12,71,204,RB,RB,2022
0bdwl8l7ym,0bdwl8l7ym,4035671,19297,tyler-huntley,00-0035993,18624,HuntTy01,7083,7c226f73-a59f-4db6-ad98-2766d05d4d5a,Q76995200,32993,T.Huntley,Tyler,Tyler Huntley,"Huntley, Tyler","Huntley, T",Tyler Huntley,,Tyler Huntley,Huntley,Tyler,,1998-02-03,1998,02,03,73,204,QB,QB,2020
0dkxe1x2th,0dkxe1x2th,4362921,22913,tyquan-thornton,00-0038104,19491,ThorTy00,8188,74cda487-2026-42e0-ae32-77f3502cfb11,Q111085291,34005,T.Thornton,Tyquan,Tyquan Thornton,"Thornton, Tyquan","Thornton, T",Tyquan Thornton,,Tyquan Thornton,Thornton,Tyquan,,2000-08-07,2000,08,07,74,185,WR,WR,2022
0j1byqbh9m,0j1byqbh9m,4429053,23016,aj-henning,00-0040302,22513,HennAJ00,12865,a52b06e0-2441-11f0-a9f9-9516d6719f8f,,42163,A.Henning,Antiwan,A.J. Henning,"Henning, A.J.","Henning, A",Antiwan Henning,,A.J. Henning,Henning,A.J.,,2001-09-09,2001,09,09,70,192,WR,WR,2025
0n8d26yxmh,0n8d26yxmh,4710714,28138,dezhaun-stribling,00-0041035,23066,StriDe01,13417,ca6fa516-adeb-4fd2-9408-17c9c2e38798,Q130332377,42655,D.Stribling,De'Zhaun-Ryan,De'Zhaun Stribling,"Stribling, De'Zhaun","Stribling, D",De'Zhaun-Ryan Stribling,,De'Zhaun Stribling,Stribling,De'Zhaun,,2002-12-18,2002,12,18,74,207,WR,WR,2026
0nr4xs8zx0,0nr4xs8zx0,4685522,25368,ty-simpson,00-0041568,22936,SimpTy00,13275,2e62e603-363a-425f-8c57-0a1600476c85,Q116234477,42635,T.Simpson,Tyler,Ty Simpson,"Simpson, Ty","Simpson, T",Tyler Simpson,,Ty Simpson,Simpson,Ty,,2002-12-21,2002,12,21,74,208,QB,QB,2026
0p11t6bxgr,0p11t6bxgr,4360438,19252,brandon-aiyuk,00-0036261,17983,AiyuBr00,6803,c90471cc-fa60-4416-9388-5aebb5d877eb,Q75837911,32695,B.Aiyuk,Brandon,Brandon Aiyuk,"Aiyuk, Brandon","Aiyuk, B",Brandon Aiyuk,,Brandon Aiyuk,Aiyuk,Brandon,,1998-03-17,1998,03,17,72,200,WR,WR,2020
0ph881prrd,0ph881prrd,4432665,22955,brock-bowers,00-0039338,21123,BoweBr01,11604,ad9fc7e3-0a6d-4e41-84c2-cf43b71aee13,Q108691451,40878,B.Bowers,Brock,Brock Bowers,"Bowers, Brock","Bowers, B",Brock Bowers,,Brock Bowers,Bowers,Brock,,2002-12-13,2002,12,13,75,235,TE,TE,2024
0pp77rg64h,0pp77rg64h,4431536,23014,donovan-edwards,00-0040400,21149,EdwaDo01,12515,162f3110-24fe-11f0-9c33-270dfe4c58dc,Q108408578,42226,D.Edwards,Donovan,Donovan Edwards,"Edwards, Donovan","Edwards, D",Donovan Edwards,,Donovan Edwards,Edwards,Donovan,,2003-02-25,2003,02,25,73,212,RB,RB,2025
0ps0bjgzy0,0ps0bjgzy0,4837248,28013,fernando-mendoza,00-0041562,22928,MendFe00,13269,b1ded115-092a-4199-9a55-cab9f4b5bb18,Q123411920,42623,F.Mendoza,Fernando,Fernando Mendoza,"Mendoza, Fernando","Mendoza, F",Fernando Mendoza,,Fernando Mendoza,Mendoza,Fernando,,2003-10-01,2003,10,01,77,236,QB,QB,2026
0qxeyhyq9d,0qxeyhyq9d,4431431,22997,corey-kiner,00-0040556,22722,KineCo00,12491,c7483e80-2574-11f0-b082-a1e374c45b00,Q130325727,42386,C.Kiner,Corey,Corey Kiner,"Kiner, Corey","Kiner, C",Corey Kiner,,Corey Kiner,Kiner,Corey,,2002-01-21,2002,01,21,69,210,RB,RB,2025
0z7b94ldpd,0z7b94ldpd,3043078,15514,derrick-henry,00-0032764,15055,HenrDe00,3198,87c481c7-7414-43cc-82df-19ca0c2ae22e,Q16729768,29279,D.Henry,Derrick,Derrick Henry,"Henry, Derrick","Henry, D",Derrick Henry,,Derrick Henry,Henry,Derrick,,1994-01-04,1994,01,04,75,252,RB,RB,2016
10nt79jntd,10nt79jntd,4711533,25984,ollie-gordon,00-0040198,22071,GordOl00,12495,42753bb4-a416-4d40-bf81-f20d2181be2f,Q115587460,41969,O.Gordon,Ollie,Ollie Gordon,"Gordon, Ollie","Gordon, O",Ollie Gordon II,II,Ollie Gordon II,Gordon,Ollie,,2004-01-15,2004,01,15,74,225,RB,RB,2025
12efcy7m2m,12efcy7m2m,4912052,28079,justin-joly,00-0041077,23141,JolyJu00,13400,014c6825-61ca-486d-9c4d-ca0968b58888,Q131139492,42764,J.Joly,Justin,Justin Joly,"Joly, Justin","Joly, J",Justin Joly,,Justin Joly,Joly,Justin,,2004-07-09,2004,07,09,75,263,TE,TE,2026
12wbgphfqw,12wbgphfqw,4244049,22820,quintin-morris,00-0036590,19291,MorrQu00,7536,eab74cbc-ed11-46b3-bd16-1d4c997adc22,Q109528957,33819,Q.Morris,Quintin,Quintin Morris,"Morris, Quintin","Morris, Q",Quintin Morris,,Quintin Morris,Morris,Quintin,,1999-01-21,1999,01,21,74,243,TE,TE,2021
146v22lz0d,146v22lz0d,4360234,23297,evan-mcpherson,00-0036854,19068,McPhEv00,7839,acc143ed-53b2-49c9-81bc-16e6c98ffcae,Q106676600,33537,E.McPherson,Evan,Evan McPherson,"McPherson, Evan","McPherson, E",Evan McPherson,,Evan McPherson,McPherson,Evan,,1999-07-21,1999,07,21,71,185,K,SPEC,2021
1540mysd5m,1540mysd5m,4431611,23084,caleb-williams,00-0039918,21124,WillCa03,11560,49d4b627-3f19-49a8-ae33-f539e0fb1f88,Q108878513,40900,C.Williams,Caleb,Caleb Williams,"Williams, Caleb","Williams, C",Caleb Williams,,Caleb Williams,Williams,Caleb,,2001-11-18,2001,11,18,73,226,QB,QB,2024
19e8e3g7pm,19e8e3g7pm,4242546,22799,davis-mills,00-0036898,18922,MillDa02,7585,7d51fab7-2d52-4d19-a021-19a123af0d10,Q90255867,33455,D.Mills,Davis,Davis Mills,"Mills, Davis","Mills, D",Davis Mills,,Davis Mills,Mills,Davis,,1998-10-21,1998,10,21,76,225,QB,QB,2021
1bl5xrmjf8,1bl5xrmjf8,4428993,23141,haynes-king,00-0041149,23249,,13415,aa915c40-419d-11f1-aa00-ebd45e534754,Q108280665,42904,H.King,Haynes,Haynes King,"King, Haynes","King, H",Haynes King,,Haynes King,King,Haynes,,2001-01-09,2001,01,09,75,215,QB,QB,2026
1crb9kwkcr,1crb9kwkcr,2975674,16502,robert-tonyan,00-0033757,15751,TonyRo00,4602,7c9c7800-69d0-459b-812b-a07ac48e9f2a,Q56544042,30777,R.Tonyan,Robert,Robert Tonyan,"Tonyan, Robert","Tonyan, R",Robert Tonyan,,Robert Tonyan,Tonyan,Robert,,1994-04-30,1994,04,30,77,200,TE,TE,2017
1d5g1sqr3h,1d5g1sqr3h,4600597,27910,montorie-foster-jr,00-0040621,22869,FostMo00,13199,c2d51e60-2f63-11f0-84c5-d54c2e170b0d,Q127446663,42515,M.Foster,Montorie,Montorie Foster,"Foster, Montorie","Foster, M",Montorie Foster Jr,Jr,Montorie Foster Jr,Foster,Montorie,,2001-08-03,2001,08,03,71,188,WR,WR,2025
1dtwzb8z64,1dtwzb8z64,4430723,26343,jared-wiley,00-0039824,21304,WileJa00,11595,a952a370-a43f-45ec-8371-0665f0b9551e,Q123615627,40978,J.Wiley,Jared,Jared Wiley,"Wiley, Jared","Wiley, J",Jared Wiley,,Jared Wiley,Wiley,Jared,,2000-11-02,2000,11,02,78,249,TE,TE,2024
1dx1b5rhq0,1dx1b5rhq0,4426689,23112,ulysses-bentley-iv,00-0040476,22461,BentUl00,12826,f71d0370-23b2-11f0-b632-8947e146a0ae,Q132435855,42126,U.Bentley,Ulysses,Ulysses Bentley,"Bentley, Ulysses","Bentley, U",Ulysses Bentley IV,IV,Ulysses Bentley IV,Bentley,Ulysses,,2000-12-30,2000,12,30,70,200,RB,RB,2025
1f750xjkhm,1f750xjkhm,4569618,23072,garrett-wilson,00-0037740,19431,WilsGa00,8146,68d72fe0-79b2-4fdb-afd5-6c79676e77f3,Q104524010,33965,G.Wilson,Garrett,Garrett Wilson,"Wilson, Garrett","Wilson, G",Garrett Wilson,,Garrett Wilson,Wilson,Garrett,,2000-07-22,2000,07,22,72,183,WR,WR,2022
1h0t5q0gy0,1h0t5q0gy0,4035656,22843,ben-skowronek,00-0036862,19129,SkowBe00,7757,5521ba64-e615-4d50-b9bf-490498571ac7,Q102046795,33637,B.Skowronek,Bennett,Ben Skowronek,"Skowronek, Ben","Skowronek, B",Bennett Skowronek,,Ben Skowronek,Skowronek,Ben,,1997-06-27,1997,06,27,75,224,WR,WR,2021
1k1xvf02bw,1k1xvf02bw,4383396,25941,hunter-luepke,00-0038738,21079,LuepHu00,11510,58f425d0-f677-11ed-978f-0975e9cb7dba,Q114498061,40780,H.Luepke,Hunter,Hunter Luepke,"Luepke, Hunter","Luepke, H",Hunter Luepke,,Hunter Luepke,Luepke,Hunter,,2000-02-28,2000,02,28,73,238,RB,RB,2023
1nf9zydt44,1nf9zydt44,4429299,26212,tahj-brooks,00-0040208,22300,BrooTa00,12543,8d50af87-f6dc-42cb-a7e7-11716667a1dc,Q122999654,41983,T.Brooks,Tahj,Tahj Brooks,"Brooks, Tahj","Brooks, T",Tahj Brooks,,Tahj Brooks,Brooks,Tahj,,2002-05-13,2002,05,13,69,220,RB,RB,2025
1q9dv58dtr,1q9dv58dtr,4870847,27337,jakobi-lane,00-0040870,22959,LaneJa01,13293,ea285842-4fdf-4b27-bd73-6bfd916c6bc5,Q130380708,42702,J.Lane,Ja'Kobi,Ja'Kobi Lane,"Lane, Ja'Kobi","Lane, J",Ja'Kobi Lane,,Ja'Kobi Lane,Lane,Ja'Kobi,,2004-08-05,2004,08,05,76,208,WR,WR,2026
1qgsbjz5t4,1qgsbjz5t4,4361259,22679,zach-wilson,00-0037013,18806,WilsZa00,7538,17bb63b1-1b0e-48e1-baf7-55cd314d0e62,Q99960947,33390,Z.Wilson,Zachary,Zach Wilson,"Wilson, Zach","Wilson, Z",Zachary Wilson,,Zach Wilson,Wilson,Zach,,1999-08-03,1999,08,03,74,214,QB,QB,2021
